Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
04/17/2021,434,6,60,70,95,95,78,46,24,14,12,0,235,199,0,114,20,153,62,27,58,0,0,0,2,2,1,0,1,0,1,5,0,1,1,4,0,0,0,1,6,3,11,12,6,10,11,0,33,27,0,12,1,31,7,5,4
11/03/2020,2145,13,107,262,556,450,350,266,153,65,43,0,1091,1050,4,745,61,243,473,98,525,0,0,0,0,2,5,4,2,0,2,11,0,4,0,4,5,0,0,3,10,11,11,17,23,13,19,0,52,55,0,41,5,35,16,1,9
03/27/2021,404,4,34,60,103,90,58,46,34,9,4,0,195,209,0,91,14,75,130,28,66,0,0,0,1,1,1,0,1,0,2,2,0,0,0,3,1,0,0,0,4,1,8,5,7,4,5,0,17,17,0,11,1,14,7,1,0
11/19/2020,2169,17,119,250,526,458,358,278,187,83,29,0,1114,1043,12,739,43,280,398,104,605,0,0,0,0,0,7,5,5,0,7,10,0,3,1,5,7,1,0,4,4,10,17,20,21,26,17,0,56,63,0,34,5,39,29,4,8
06/12/2021,46,4,9,5,13,13,3,7,1,2,2,0,18,28,0,10,1,13,10,1,11,0,0,0,0,1,1,1,1,0,4,0,0,2,0,0,2,0,0,0,0,2,3,1,0,1,2,0,4,5,0,4,0,4,1,0,0
01/20/2021,788,12,57,107,212,155,117,91,59,31,16,0,398,390,0,217,31,154,175,44,167,0,0,1,0,1,4,4,2,0,8,4,0,2,1,6,3,0,0,0,4,7,10,9,11,7,9,0,27,30,0,12,0,24,16,1,4
11/01/2020,734,6,73,77,184,152,114,96,53,36,22,0,394,339,1,178,34,100,205,36,181,0,0,0,0,0,3,1,2,0,3,3,0,2,0,3,1,0,0,2,7,3,7,6,13,20,15,0,34,39,0,26,1,26,15,3,2
09/30/2020,463,2,22,48,140,95,53,65,35,17,10,0,236,227,0,154,7,79,113,27,83,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,2,2,2,3,3,5,4,0,10,12,0,8,0,4,9,1,0
07/10/2021,49,0,7,7,11,17,8,2,1,3,0,0,23,26,0,8,2,12,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,5,2,0,2,0,3,1,0,1
05/05/2021,478,5,48,94,129,81,74,59,25,7,9,0,253,224,1,106,15,178,63,14,102,0,1,0,1,0,1,0,2,0,3,2,0,1,0,4,0,0,0,0,5,9,5,9,12,2,6,0,28,20,0,7,2,23,9,2,5
10/05/2020,553,3,22,54,157,117,95,66,38,22,4,0,266,286,1,205,14,96,113,18,107,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1,2,0,0,1,4,3,2,2,4,5,1,0,9,13,0,7,0,11,4,0,0
03/17/2020,96,1,24,0,15,21,18,17,19,2,4,0,37,59,0,7,3,39,40,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,5,7,3,3,0,7,17,0,4,0,16,4,0,0
