Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
15-May-2020,11,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.142857142857143,0.000107158395110148,22,298108,0.285714285714286,9.58425422042634e-05,5,0,0
16-May-2020,11,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.142857142857143,0.000107158395110148,22,298108,0.142857142857143,4.79212711021317e-05,5,0,0
17-May-2020,11,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
18-May-2020,11,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
19-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
20-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
21-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0,0,23,298108,0,0,5,0,0
22-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0,0,23,298108,0,0,5,0,0
23-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0,0,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
24-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0,0,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
25-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0,0,23,298108,0.142857142857143,4.79212711021317e-05,5,0,0
26-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
27-May-2020,11,354423,0,0,4,43782,0,0,7,133314,0.142857142857143,0.000107158395110148,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
28-May-2020,11,354423,0,0,4,43782,0.142857142857143,0.000326291952987855,7,133314,0.142857142857143,0.000107158395110148,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
29-May-2020,11,354423,0,0,4,43782,0.142857142857143,0.000326291952987855,8,133314,0.142857142857143,0.000107158395110148,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
30-May-2020,11,354423,0,0,4,43782,0.142857142857143,0.000326291952987855,8,133314,0.142857142857143,0.000107158395110148,24,298108,0,0,5,0,0
31-May-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,8,133314,0.142857142857143,0.000107158395110148,24,298108,0,0,5,0,0
01-Jun-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,8,133314,0.142857142857143,0.000107158395110148,24,298108,0,0,5,0,0
02-Jun-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,8,133314,0,0,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
03-Jun-2020,11,354423,0,0,5,43782,0.142857142857143,0.000326291952987855,8,133314,0,0,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
04-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0,0,24,298108,0.142857142857143,4.79212711021317e-05,5,0,0
05-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0,0,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
06-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0,0,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
07-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0,0,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
08-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0,0,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
09-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0.142857142857143,0.000107158395110148,25,298108,0,0,5,0,0
10-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0.142857142857143,0.000107158395110148,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
11-Jun-2020,11,354423,0,0,5,43782,0,0,8,133314,0.142857142857143,0.000107158395110148,25,298108,0.142857142857143,4.79212711021317e-05,5,0,0
