Time,wht_epiestimR,asn_epiestimR,ltn_epiestimR
10-Jun-2020,1.03748788041324,0.837030193977252,1.18250703376821
11-Jun-2020,1.03892284951829,0.808312267135805,1.08995183380773
12-Jun-2020,1.06289419390802,1.17023515485624,1.13736599310831
13-Jun-2020,1.1551856108656,1.31050440659745,1.04355975960167
14-Jun-2020,1.00518139399342,0.822398921347393,0.712488511169971
15-Jun-2020,0.814606884758047,0.613851083496405,0.646411448321259
16-Jun-2020,1.12388231009829,0.891239101302729,1.06632701246116
17-Jun-2020,1.44414623995886,1.37468248472103,1.33126147691109
18-Jun-2020,1.52126259522265,1.47481483742249,1.24921835479873
19-Jun-2020,1.3805467554591,1.11195956124775,1.17546133188999
20-Jun-2020,1.27042264104383,1.17686620918288,1.14687951231226
21-Jun-2020,1.28128665291822,1.11693755969381,0.920927985675186
